Name	Attribute	AttributeName	Attribute2	Value	Index	Level	Key
GDP50	columns	RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61	attributeHierarchy	ready	13.01	1	GDP50 | columns | RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61 | attributeHierarchy | state
GDP50	columns	RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61	attributeHierarchy	2020-09-18T10:31:49.276667	13.02	1	GDP50 | columns | RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61 | attributeHierarchy | modifiedTime
GDP50	columns	RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61	attributeHierarchy	2020-09-18T10:37:05.803333	13.03	1	GDP50 | columns | RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61 | attributeHierarchy | refreshedTime
GDP50	columns	Country	attributeHierarchy	ready	21.04	1	GDP50 | columns | Country | attributeHierarchy | state
GDP50	columns	Country	attributeHierarchy	2020-09-18T10:31:49.293333	21.05	1	GDP50 | columns | Country | attributeHierarchy | modifiedTime
GDP50	columns	Country	attributeHierarchy	2020-09-18T10:37:05.806667	21.06	1	GDP50 | columns | Country | attributeHierarchy | refreshedTime
GDP50	columns	Year	attributeHierarchy	ready	30.12	1	GDP50 | columns | Year | attributeHierarchy | state
GDP50	columns	Year	attributeHierarchy	2020-09-18T10:31:49.293333	30.13	1	GDP50 | columns | Year | attributeHierarchy | modifiedTime
GDP50	columns	Year	attributeHierarchy	2020-09-18T10:37:05.806667	30.14	1	GDP50 | columns | Year | attributeHierarchy | refreshedTime
GDP50	columns	GDP	attributeHierarchy	ready	40.20	1	GDP50 | columns | GDP | attributeHierarchy | state
GDP50	columns	GDP	attributeHierarchy	2020-09-18T10:31:49.276667	40.21	1	GDP50 | columns | GDP | attributeHierarchy | modifiedTime
GDP50	columns	GDP	attributeHierarchy	2020-09-18T10:37:05.806667	40.22	1	GDP50 | columns | GDP | attributeHierarchy | refreshedTime
GDP50	partitions	GDP50-645b8b66-1970-432d-956a-2bd6c4269ddc	source	query	47.28	1	GDP50 | partitions | GDP50-645b8b66-1970-432d-956a-2bd6c4269ddc | source | type
GDP50	partitions	GDP50-645b8b66-1970-432d-956a-2bd6c4269ddc	source	SELECT * FROM [GDP50]	47.29	1	GDP50 | partitions | GDP50-645b8b66-1970-432d-956a-2bd6c4269ddc | source | query
GDP50	partitions	GDP50-645b8b66-1970-432d-956a-2bd6c4269ddc	source	0939d1a6-ed45-48f0-8f7b-da9209fe2e4b	47.30	1	GDP50 | partitions | GDP50-645b8b66-1970-432d-956a-2bd6c4269ddc | source | dataSource
GDP50	columns	Country	annotations	SummarizationSetBy	22.07.01	2	GDP50 | columns | Country | annotations | SummarizationSetBy | name
GDP50	columns	Country	annotations	Automatic	22.07.02	2	GDP50 | columns | Country | annotations | SummarizationSetBy | value
GDP50	columns	Country	annotations	2020-09-18T10:31:43.926667	22.07.03	2	GDP50 | columns | Country | annotations | SummarizationSetBy | modifiedTime
GDP50	columns	Country	annotations	Format	22.08.04	2	GDP50 | columns | Country | annotations | Format | name
GDP50	columns	Country	annotations	"<Format Format=""Text"" />"	22.08.05	2	GDP50 | columns | Country | annotations | Format | value
GDP50	columns	Country	annotations	2020-09-18T10:31:43.926667	22.08.06	2	GDP50 | columns | Country | annotations | Format | modifiedTime
GDP50	columns	Country	annotations	DataTypeAtRefresh	22.09.07	2	GDP50 | columns | Country | annotations | DataTypeAtRefresh | name
GDP50	columns	Country	annotations	String#####not a type	22.09.08	2	GDP50 | columns | Country | annotations | DataTypeAtRefresh | value
GDP50	columns	Country	annotations	2020-09-18T10:31:45.136667	22.09.09	2	GDP50 | columns | Country | annotations | DataTypeAtRefresh | modifiedTime
GDP50	columns	Country	annotations	PBI_NameAtRefresh	22.10.10	2	GDP50 | columns | Country | annotations | PBI_NameAtRefresh | name
GDP50	columns	Country	annotations	Country	22.10.11	2	GDP50 | columns | Country | annotations | PBI_NameAtRefresh | value
GDP50	columns	Country	annotations	2020-09-18T10:31:45.136667	22.10.12	2	GDP50 | columns | Country | annotations | PBI_NameAtRefresh | modifiedTime
GDP50	columns	Country	annotations	PBI_WasHiddenAtRefresh	22.11.13	2	GDP50 | columns | Country | annotations | PBI_WasHiddenAtRefresh | name
GDP50	columns	Country	annotations	False	22.11.14	2	GDP50 | columns | Country | annotations | PBI_WasHiddenAtRefresh | value
GDP50	columns	Country	annotations	2020-09-18T10:31:45.136667	22.11.15	2	GDP50 | columns | Country | annotations | PBI_WasHiddenAtRefresh | modifiedTime
GDP50	columns	Year	annotations	SummarizationSetBy	31.15.16	2	GDP50 | columns | Year | annotations | SummarizationSetBy | name
GDP50	columns	Year	annotations	Automatic	31.15.17	2	GDP50 | columns | Year | annotations | SummarizationSetBy | value
GDP50	columns	Year	annotations	2020-09-18T10:31:43.926667	31.15.18	2	GDP50 | columns | Year | annotations | SummarizationSetBy | modifiedTime
GDP50	columns	Year	annotations	Format	31.16.19	2	GDP50 | columns | Year | annotations | Format | name
GDP50	columns	Year	annotations	"<Format Format=""Text"" />"	31.16.20	2	GDP50 | columns | Year | annotations | Format | value
GDP50	columns	Year	annotations	2020-09-18T10:31:43.926667	31.16.21	2	GDP50 | columns | Year | annotations | Format | modifiedTime
GDP50	columns	Year	annotations	DataTypeAtRefresh	31.17.22	2	GDP50 | columns | Year | annotations | DataTypeAtRefresh | name
GDP50	columns	Year	annotations	String#####not a type	31.17.23	2	GDP50 | columns | Year | annotations | DataTypeAtRefresh | value
GDP50	columns	Year	annotations	2020-09-18T10:31:45.136667	31.17.24	2	GDP50 | columns | Year | annotations | DataTypeAtRefresh | modifiedTime
GDP50	columns	Year	annotations	PBI_NameAtRefresh	31.18.25	2	GDP50 | columns | Year | annotations | PBI_NameAtRefresh | name
GDP50	columns	Year	annotations	Year	31.18.26	2	GDP50 | columns | Year | annotations | PBI_NameAtRefresh | value
GDP50	columns	Year	annotations	2020-09-18T10:31:45.136667	31.18.27	2	GDP50 | columns | Year | annotations | PBI_NameAtRefresh | modifiedTime
GDP50	columns	Year	annotations	PBI_WasHiddenAtRefresh	31.19.28	2	GDP50 | columns | Year | annotations | PBI_WasHiddenAtRefresh | name
